Region,Constituency,Option,Votes,Seats
Galicia,A Coruña,Abstención,246540,0
Galicia,A Coruña,Votos en blanco,7873,0
Galicia,A Coruña,Votos nulos,9048,0
Galicia,A Coruña,PSOE,211587,3
Galicia,A Coruña,PP,171783,3
Galicia,A Coruña,PODEMOS-IU-EQUO,99621,1
Galicia,A Coruña,Cs,81261,1
Galicia,A Coruña,BNG,44901,0
Galicia,A Coruña,VOX,37950,0
Galicia,A Coruña,PACMA,6994,0
Galicia,A Coruña,EN MAREA,6745,0
Galicia,A Coruña,PCOE,1808,0
Galicia,A Coruña,RECORTES CERO-GV,1300,0
Galicia,A Coruña,CxG,1232,0
Galicia,A Coruña,PCTG,589,0
Castilla - La Mancha,Albacete,Abstención,66028,0
Castilla - La Mancha,Albacete,Votos en blanco,1700,0
Castilla - La Mancha,Albacete,Votos nulos,2969,0
Castilla - La Mancha,Albacete,PSOE,74767,2
Castilla - La Mancha,Albacete,PP,51739,1
Castilla - La Mancha,Albacete,Cs,43716,1
Castilla - La Mancha,Albacete,VOX,33891,0
Castilla - La Mancha,Albacete,PODEMOS-IU-EQUO,24730,0
Castilla - La Mancha,Albacete,PACMA,2196,0
Castilla - La Mancha,Albacete,RECORTES CERO-GV-PCAS-TC,322,0
Castilla - La Mancha,Albacete,PUM+J,301,0
Castilla - La Mancha,Albacete,PCPE,224,0
Castilla - La Mancha,Albacete,PCTE,182,0
Comunitat Valenciana,Alicante / Alacant,Abstención,309818,0
Comunitat Valenciana,Alicante / Alacant,Votos en blanco,6208,0
Comunitat Valenciana,Alicante / Alacant,Votos nulos,10080,0
Comunitat Valenciana,Alicante / Alacant,PSOE,258592,4
Comunitat Valenciana,Alicante / Alacant,PP,178740,3
Comunitat Valenciana,Alicante / Alacant,Cs,177231,2
Comunitat Valenciana,Alicante / Alacant,PODEMOS-IU-EQUO,127091,2
Comunitat Valenciana,Alicante / Alacant,VOX,115011,1
Comunitat Valenciana,Alicante / Alacant,COMPROMÍS 2019,30884,0
Comunitat Valenciana,Alicante / Alacant,PACMA,12901,0
Comunitat Valenciana,Alicante / Alacant,AVANT-LOS VERDES,3153,0
Comunitat Valenciana,Alicante / Alacant,RECORTES CERO-GV,1510,0
Comunitat Valenciana,Alicante / Alacant,PCPE,1338,0
