City,Constituency,Votes,Option
Abrera,Barcelona,1272,Abstención
Abrera,Barcelona,26,Votos nulos
Abrera,Barcelona,38,Votos en blanco
Abrera,Barcelona,2559,C's
Abrera,Barcelona,1487,PSC
Abrera,Barcelona,1411,ERC-CatSí
Abrera,Barcelona,815,CatComú-Podem
Abrera,Barcelona,680,JUNTSxCAT
Abrera,Barcelona,321,PP
Abrera,Barcelona,198,CUP
Abrera,Barcelona,129,PACMA
Abrera,Barcelona,31,RECORTES CERO-GRUPO VERDE
"Cabanyes, les",Barcelona,90,Abstención
Cabrera de Mar,Barcelona,388,Abstención
Calaf,Barcelona,345,Abstención
"Bruc, el",Barcelona,229,Abstención
Cabrera d'Anoia,Barcelona,237,Abstención
"Cabanyes, les",Barcelona,2,Votos nulos
"Cabanyes, les",Barcelona,1,Votos en blanco
"Cabanyes, les",Barcelona,220,JUNTSxCAT
"Cabanyes, les",Barcelona,144,ERC-CatSí
"Cabanyes, les",Barcelona,100,C's
"Cabanyes, les",Barcelona,54,PSC
"Cabanyes, les",Barcelona,37,CUP
"Cabanyes, les",Barcelona,30,CatComú-Podem
"Cabanyes, les",Barcelona,15,PP
"Cabanyes, les",Barcelona,3,PACMA
Cabrera de Mar,Barcelona,10,Votos nulos
Cabrera de Mar,Barcelona,17,Votos en blanco
Cabrera de Mar,Barcelona,1189,JUNTSxCAT
Cabrera de Mar,Barcelona,717,ERC-CatSí
Cabrera de Mar,Barcelona,548,C's
Cabrera de Mar,Barcelona,270,PSC
Cabrera de Mar,Barcelona,149,CatComú-Podem
Cabrera de Mar,Barcelona,128,CUP
Cabrera de Mar,Barcelona,92,PP
Cabrera de Mar,Barcelona,18,PACMA
Cabrera de Mar,Barcelona,2,RECORTES CERO-GRUPO VERDE
Calaf,Barcelona,7,Votos nulos
Calaf,Barcelona,8,Votos en blanco
Calaf,Barcelona,814,JUNTSxCAT
Calaf,Barcelona,482,ERC-CatSí
Calaf,Barcelona,272,C's
Calaf,Barcelona,173,PSC
Calaf,Barcelona,85,CatComú-Podem
Calaf,Barcelona,84,CUP
Calaf,Barcelona,82,PP
Calaf,Barcelona,8,PACMA
Calaf,Barcelona,3,RECORTES CERO-GRUPO VERDE
"Bruc, el",Barcelona,4,Votos nulos
"Bruc, el",Barcelona,10,Votos en blanco
"Bruc, el",Barcelona,351,ERC-CatSí
"Bruc, el",Barcelona,301,JUNTSxCAT
"Bruc, el",Barcelona,220,C's
"Bruc, el",Barcelona,125,CUP
"Bruc, el",Barcelona,111,PSC
"Bruc, el",Barcelona,101,CatComú-Podem
"Bruc, el",Barcelona,40,PP
"Bruc, el",Barcelona,6,PACMA
"Bruc, el",Barcelona,3,RECORTES CERO-GRUPO VERDE
Cabrera d'Anoia,Barcelona,3,Votos nulos
Cabrera d'Anoia,Barcelona,3,Votos en blanco
Cabrera d'Anoia,Barcelona,230,C's
Cabrils,Barcelona,612,Abstención
"Brull, el",Barcelona,16,Abstención
Calders,Barcelona,95,Abstención
Borredà,Barcelona,54,Abstención
Cabrera d'Anoia,Barcelona,179,ERC-CatSí
Cabrera d'Anoia,Barcelona,136,PSC
Cabrera d'Anoia,Barcelona,111,JUNTSxCAT
Cabrera d'Anoia,Barcelona,57,CatComú-Podem
Cabrera d'Anoia,Barcelona,33,CUP
Cabrera d'Anoia,Barcelona,27,PP
Cabrera d'Anoia,Barcelona,10,PACMA
Cabrera d'Anoia,Barcelona,7,RECORTES CERO-GRUPO VERDE
Bigues i Riells,Barcelona,1076,Abstención
Cabrils,Barcelona,6,Votos nulos
Cabrils,Barcelona,12,Votos en blanco
Cabrils,Barcelona,1719,JUNTSxCAT
Cabrils,Barcelona,1019,ERC-CatSí
Cabrils,Barcelona,846,C's
Cabrils,Barcelona,367,PSC
Cabrils,Barcelona,201,CUP
Cabrils,Barcelona,196,CatComú-Podem
Cabrils,Barcelona,105,PP
Cabrils,Barcelona,41,PACMA
Cabrils,Barcelona,5,RECORTES CERO-GRUPO VERDE
Barcelona,Barcelona,206760,Abstención
"Brull, el",Barcelona,1,Votos en blanco
"Brull, el",Barcelona,103,JUNTSxCAT
"Brull, el",Barcelona,33,ERC-CatSí
"Brull, el",Barcelona,15,CUP
"Brull, el",Barcelona,7,C's
"Brull, el",Barcelona,4,PP
"Brull, el",Barcelona,2,CatComú-Podem
"Brull, el",Barcelona,1,PSC
"Brull, el",Barcelona,1,PACMA
Calders,Barcelona,4,Votos nulos
Calders,Barcelona,286,JUNTSxCAT
Calders,Barcelona,201,ERC-CatSí
Calders,Barcelona,59,CUP
Calders,Barcelona,55,C's
Calders,Barcelona,30,PSC
Calders,Barcelona,17,CatComú-Podem
Calders,Barcelona,13,PP
Calders,Barcelona,7,PACMA
