Region,Constituency,Option,Votes,Seats
Andalucía,Almería,Abstención,85642,0
Andalucía,Almería,Votos en blanco,1890,0
Andalucía,Almería,Votos nulos,1436,0
Andalucía,Almería,PP,115925,2
Andalucía,Almería,PSOE,135789,3
Andalucía,Almería,IU,28580,0
Andalucía,Almería,PA,4754,0
Andalucía,Almería,UC,180,0
Andalucía,Almería,PRT,152,0
Andalucía,Almería,PCPE,296,0
Andalucía,Almería,PH,182,0
Andalucía,Almería,FEA,205,0
Andalucía,Almería,NA,344,0
Andalucía,Cádiz,Abstención,226362,0
Andalucía,Cádiz,Votos en blanco,5126,0
Andalucía,Cádiz,Votos nulos,5005,0
Andalucía,Cádiz,PP,217795,4
Andalucía,Cádiz,PSOE,270237,4
Andalucía,Cádiz,IU,81116,1
Andalucía,Cádiz,PA,37356,0
Andalucía,Cádiz,UC,574,0
Andalucía,Cádiz,PRT,576,0
Andalucía,Cádiz,PCPE,925,0
Andalucía,Cádiz,PH,573,0
Andalucía,Cádiz,FEA,574,0
Andalucía,Cádiz,NA,905,0
Andalucía,Córdoba,Abstención,106799,0
Andalucía,Córdoba,Votos en blanco,3415,0
Andalucía,Córdoba,Votos nulos,2796,0
Andalucía,Córdoba,PP,163155,2
Andalucía,Córdoba,PSOE,220659,4
Andalucía,Córdoba,IU,91773,1
Andalucía,Córdoba,PA,13194,0
Andalucía,Córdoba,UC,281,0
Andalucía,Córdoba,PRT,295,0
Andalucía,Córdoba,PCPE,711,0
Andalucía,Córdoba,PH,245,0
Andalucía,Córdoba,FEA,266,0
Andalucía,Córdoba,NA,290,0
Andalucía,Granada,Abstención,139027,0
Andalucía,Granada,Votos en blanco,3749,0
Andalucía,Granada,Votos nulos,2431,0
Andalucía,Granada,PP,196049,3
Andalucía,Granada,PSOE,237446,3
Andalucía,Granada,IU,61214,1
Andalucía,Granada,PA,9878,0
Andalucía,Granada,UC,469,0
Andalucía,Granada,PRT,351,0
Andalucía,Granada,PCPE,716,0
Andalucía,Granada,PH,302,0
Andalucía,Granada,FEA,290,0
Andalucía,Granada,NA,329,0
Andalucía,Huelva,Abstención,87657,0
Andalucía,Huelva,Votos en blanco,1758,0
Andalucía,Huelva,Votos nulos,2264,0
Andalucía,Huelva,PP,89882,2
Andalucía,Huelva,PSOE,138259,3
Andalucía,Huelva,IU,27060,0
Andalucía,Huelva,PA,7129,0
Andalucía,Huelva,UC,167,0
Andalucía,Huelva,PRT,143,0
Andalucía,Huelva,PCPE,246,0
Andalucía,Huelva,PH,172,0
Andalucía,Huelva,FEA,95,0
Andalucía,Huelva,NA,215,0
Andalucía,Jaén,Abstención,82800,0
Andalucía,Jaén,Votos en blanco,2639,0
Andalucía,Jaén,Votos nulos,2076,0
Andalucía,Jaén,PP,155947,3
Andalucía,Jaén,PSOE,205818,3
Andalucía,Jaén,IU,49564,0
Andalucía,Jaén,PA,7200,0
Andalucía,Jaén,UC,354,0
Andalucía,Jaén,PRT,182,0
Andalucía,Jaén,PCPE,461,0
Andalucía,Jaén,PH,171,0
Andalucía,Jaén,FEA,218,0
Andalucía,Jaén,NA,236,0
Andalucía,Málaga,Abstención,231700,0
Andalucía,Málaga,Votos en blanco,6666,0
Andalucía,Málaga,Votos nulos,4062,0
Andalucía,Málaga,PP,263920,4
Andalucía,Málaga,PSOE,288165,5
Andalucía,Málaga,IU,103930,1
Andalucía,Málaga,PA,18492,0
Andalucía,Málaga,UC,589,0
Andalucía,Málaga,PCPE,792,0
Andalucía,Málaga,PH,624,0
