Region,Constituency,Option,Votes,Seats
Andalucía,Almería,Abstención,182507,0
Andalucía,Almería,Votos en blanco,2213,0
Andalucía,Almería,Votos nulos,2315,0
Andalucía,Almería,PP,131801,3
Andalucía,Almería,PSOE,84988,2
Andalucía,Almería,PODEMOS-IU-EQUO,40578,0
Andalucía,Almería,C's,41897,1
Andalucía,Almería,PACMA,2689,0
Andalucía,Almería,RECORTES CERO-GRUPO VERDE,334,0
Andalucía,Almería,UPyD,684,0
Andalucía,Almería,VOX,435,0
Andalucía,Almería,PCPE,280,0
Andalucía,Almería,EB,347,0
Andalucía,Almería,FE de las JONS,323,0
Andalucía,Almería,IZAR,105,0
Andalucía,Cádiz,Abstención,371437,0
Andalucía,Cádiz,Votos en blanco,6938,0
Andalucía,Cádiz,Votos nulos,6497,0
Andalucía,Cádiz,PP,198876,3
Andalucía,Cádiz,PSOE,175498,3
Andalucía,Cádiz,PODEMOS-IU-EQUO,130643,2
Andalucía,Cádiz,C's,88029,1
Andalucía,Cádiz,PACMA,9719,0
Andalucía,Cádiz,RECORTES CERO-GRUPO VERDE,1417,0
Andalucía,Cádiz,UPyD,1750,0
Andalucía,Cádiz,VOX,1253,0
Andalucía,Cádiz,PCPE,767,0
Andalucía,Cádiz,FE de las JONS,472,0
Andalucía,Cádiz,P-LIB,393,0
Andalucía,Córdoba,Abstención,199146,0
Andalucía,Córdoba,Votos en blanco,4489,0
Andalucía,Córdoba,Votos nulos,5220,0
Andalucía,Córdoba,PP,153750,2
Andalucía,Córdoba,PSOE,139281,2
Andalucía,Córdoba,PODEMOS-IU-EQUO,85058,1
Andalucía,Córdoba,C's,55248,1
Andalucía,Córdoba,PACMA,4234,0
Andalucía,Córdoba,RECORTES CERO-GRUPO VERDE,467,0
Andalucía,Córdoba,UPyD,743,0
Andalucía,Córdoba,VOX,708,0
Andalucía,Córdoba,PCPE,663,0
Andalucía,Córdoba,EB,614,0
Andalucía,Córdoba,FE de las JONS,330,0
Andalucía,Córdoba,PCOE,627,0
Andalucía,Córdoba,AND,606,0
Andalucía,Granada,Abstención,254408,0
Andalucía,Granada,Votos en blanco,3424,0
Andalucía,Granada,Votos nulos,4631,0
Andalucía,Granada,PP,172721,3
Andalucía,Granada,PSOE,151445,2
Andalucía,Granada,PODEMOS-IU-EQUO,86975,1
Andalucía,Granada,C's,66000,1
Andalucía,Granada,PACMA,5228,0
Andalucía,Granada,RECORTES CERO-GRUPO VERDE,763,0
Andalucía,Granada,UPyD,1158,0
Andalucía,Granada,VOX,993,0
Andalucía,Granada,PCPE,641,0
Andalucía,Granada,IZAR,192,0
Andalucía,Huelva,Abstención,146848,0
Andalucía,Huelva,Votos en blanco,2526,0
Andalucía,Huelva,Votos nulos,3450,0
Andalucía,Huelva,PP,81959,2
Andalucía,Huelva,PSOE,88100,2
Andalucía,Huelva,PODEMOS-IU-EQUO,40023,1
Andalucía,Huelva,C's,28685,0
Andalucía,Huelva,PACMA,2850,0
Andalucía,Huelva,RECORTES CERO-GRUPO VERDE,470,0
Andalucía,Huelva,UPyD,464,0
Andalucía,Huelva,VOX,398,0
Andalucía,Huelva,PCPE,344,0
Andalucía,Jaén,Abstención,157129,0
Andalucía,Jaén,Votos en blanco,2545,0
Andalucía,Jaén,Votos nulos,4320,0
Andalucía,Jaén,PP,131234,2
Andalucía,Jaén,PSOE,138612,2
Andalucía,Jaén,PODEMOS-IU-EQUO,53239,1
Andalucía,Jaén,C's,38884,0
Andalucía,Jaén,PACMA,3238,0
Andalucía,Jaén,RECORTES CERO-GRUPO VERDE,455,0
Andalucía,Jaén,UPyD,589,0
Andalucía,Jaén,VOX,638,0
Andalucía,Jaén,PCPE,498,0
Andalucía,Jaén,CILUS,830,0
Andalucía,Málaga,Abstención,411571,0
Andalucía,Málaga,Votos en blanco,6178,0
Andalucía,Málaga,Votos nulos,7228,0
Andalucía,Málaga,PP,256033,4
Andalucía,Málaga,PSOE,201444,3
Andalucía,Málaga,PODEMOS-IU-EQUO,140829,2
Andalucía,Málaga,C's,121294,2
Andalucía,Málaga,PACMA,11523,0
Andalucía,Málaga,RECORTES CERO-GRUPO VERDE,1461,0
Andalucía,Málaga,UPyD,1832,0
Andalucía,Málaga,VOX,1770,0
Andalucía,Málaga,PCPE,983,0
Andalucía,Málaga,AND,1121,0
Andalucía,Málaga,IZAR,390,0
Andalucía,Sevilla,Abstención,486955,0
Andalucía,Sevilla,Votos en blanco,9582,0
Andalucía,Sevilla,Votos nulos,11739,0
Andalucía,Sevilla,PP,299884,4
Andalucía,Sevilla,PSOE,347470,4
Andalucía,Sevilla,PODEMOS-IU-EQUO,214663,3
Andalucía,Sevilla,C's,138086,1
Andalucía,Sevilla,PACMA,13389,0
Andalucía,Sevilla,RECORTES CERO-GRUPO VERDE,1950,0
Andalucía,Sevilla,UPyD,2712,0
Andalucía,Sevilla,VOX,2146,0
Andalucía,Sevilla,PCPE,1306,0
Andalucía,Sevilla,FE de las JONS,855,0
Andalucía,Sevilla,PCOE,1069,0
Aragón,Huesca,Abstención,55528,0
Aragón,Huesca,Votos en blanco,1204,0
Aragón,Huesca,Votos nulos,1134,0
Aragón,Huesca,PP,42332,1
Aragón,Huesca,PSOE,29915,1
Aragón,Huesca,PODEMOS-IU-EQUO,22430,1
Aragón,Huesca,C's,17934,0
Aragón,Huesca,PACMA,909,0
Aragón,Huesca,RECORTES CERO-GRUPO VERDE,216,0
Aragón,Huesca,UPyD,239,0
Aragón,Huesca,VOX,399,0
Aragón,Huesca,PCPE,349,0
Aragón,Huesca,EB,487,0
Aragón,Huesca,MAS,93,0
Aragón,Huesca,ENTABAN,377,0
Aragón,Teruel,Abstención,33448,0
Aragón,Teruel,Votos en blanco,704,0
Aragón,Teruel,Votos nulos,1010,0
Aragón,Teruel,PP,30913,2
Aragón,Teruel,PSOE,19724,1
Aragón,Teruel,PODEMOS-IU-EQUO,12558,0
Aragón,Teruel,C's,9871,0
Aragón,Teruel,PACMA,402,0
Aragón,Teruel,RECORTES CERO-GRUPO VERDE,125,0
Aragón,Teruel,PCPE,71,0
Aragón,Teruel,EB,245,0
Aragón,Teruel,FE de las JONS,160,0
Aragón,Teruel,MAS,62,0
Aragón,Teruel,INDEPENDIENTES-FIA,39,0
Aragón,Teruel,UDT,48,0
Aragón,Zaragoza,Abstención,216920,0
Aragón,Zaragoza,Votos en blanco,4124,0
Aragón,Zaragoza,Votos nulos,4009,0
Aragón,Zaragoza,PP,179211,3
Aragón,Zaragoza,PSOE,125321,2
Aragón,Zaragoza,PODEMOS-IU-EQUO,104199,1
Aragón,Zaragoza,C's,86434,1
