Year,Month,Acronym,Party
1977,06,UCD,UNION DE CENTRO DEMOCRATICO
1977,06,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL
1977,06,PCE,PARTIDO COMUNISTA DE ESPAÑA
1977,06,AP,FEDERACION DE PARTIDOS DE ALIANZA POPULAR
1977,06,PSP-US,PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
1977,06,PDPC,COALICION ELECT.PACTE DEMOCRATIC PER CATALUNYA
1977,06,PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
1977,06,FDC-EDC,COALICION ELECT. EQUIPO DE LA DEMOCRACIA CRISTIANA
1977,06,UDC-IDCC,UNIO DEL CENTRE I LA DEM. CRISTIANA DE CATALUNYA
1977,06,EC-FED,COALICION ELECTORAL ESQUERRA DE CATALUÑA
1977,06,FDI,FRENTE DEMOCRATICO DE IZQUIERDAS
1977,06,ASDCI,ALIANZA SOCIALISTA DEMOCRATICA
1977,06,AET,AGRUPACION ELECTORAL DE TRABAJADORES
1977,06,AN18,ALIANZA NACIONAL 18 DE JULIO
1977,06,RSE,REFORMA SOCIAL ESPAÑOLA
1977,06,EE,EUSKADIKO EZKERRA
1977,06,FJONSA,FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
1977,06,FUT,FRENTE UNIDAD DE LOS TRABAJADORES
1977,06,CAIC,CANDIDATURA ARAGONESA INDEPENDIENTE DE CENTRO
1977,06,ESB,PARTIDO SOCIALISTA VASCO
1977,06,PSPV,PARTIDO SOCIALISTA DEL PAIS VALENCIA
1977,06,CANDIDATURA INDEPENDIENTE DE CENTRO,CANDIDATURA INDEPENDIENTE DE CENTRO
1977,06,PSG,PARTIDO SOCIALISTA GALEGO
1977,06,DCV,DEMOCRACIA CRISTIANA VASCA
1977,06,FJONS,FALANGE ESPAÑOLA DE LAS JONS
1977,06,UNAI,UNION NAVARRA DE IZQUIERDA
1977,06,BNPG,BLOQUE NACIONAL POPULAR GALLEGO
1977,06,AFN,ALIANZA FORAL NAVARRA
1977,06,URA,UNIDAD REGIONAL ANDALUZA
1977,06,PSOE-H,P. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO)
1977,06,LLIGA,LLIGA DE CATALUNYA PARTIT LIBERAL CATALA
1977,06,ANEPA-CP,ASOC.NAL. PARA EL ESTUDIO DE PROBLEMAS ACTUALES
1977,06,UAN,UNION AUTONOMISTA DE NAVARRA
1977,06,PCU,PUEBLO CANARIO UNIDO
1977,06,DIV,DEMOCRATAS INDEPENDIENTES VASCOS
1977,06,CUPS,UNITAT POPULAR PER SOCIALISME
1977,06,UAB,UNIO AUTONOMISTA
1977,06,CCIA,CENTRO IZQUIERDA DE ALBACETE
1977,06,URAS,UNIDAD REGIONALISTA
1977,06,FNI,FRENTE NAVARRO INDEPENDIENTE
1977,06,PPCAN,PARTIDO POPULAR CANARIO
1977,06,DSCC,DEMOCRACIA SOCIAL CRISTIANA DE CATALUÑA
